epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,3.97719,0.5759,0.55263,1,0.85654,0.000539324,0.000539324,0.000539324
2,8.03692,0.51743,0.53289,1,4.32422,0.00107331,0.00107331,0.00107331
3,11.9235,0.61793,0.65132,1,3.3166,0.00158529,0.00158529,0.00158529
4,16.0805,0.71353,0.42105,1,nan,0.00156798,0.00156798,0.00156798
5,19.706,0.68886,0.51316,1,nan,0.00153497,0.00153497,0.00153497
6,23.5891,0.63099,0.65789,1,1.1042,0.00150197,0.00150197,0.00150197
7,27.5279,0.60152,0.68421,1,0.75967,0.00146896,0.00146896,0.00146896
8,31.4022,0.64712,0.60526,1,0.83682,0.00143595,0.00143595,0.00143595
9,34.9094,0.64377,0.53947,1,0.73066,0.00140295,0.00140295,0.00140295
10,38.7044,0.59745,0.64474,1,0.65957,0.00136994,0.00136994,0.00136994
11,42.7279,0.55421,0.63816,1,0.79941,0.00133693,0.00133693,0.00133693
12,46.408,0.58103,0.66447,1,0.58555,0.00130393,0.00130393,0.00130393
13,50.3012,0.57006,0.61184,1,1.52051,0.00127092,0.00127092,0.00127092
14,53.9576,0.55351,0.69737,1,0.55923,0.00123791,0.00123791,0.00123791
15,57.8829,0.53984,0.68421,1,0.78428,0.00120491,0.00120491,0.00120491
16,61.5598,0.56324,0.67105,1,0.56812,0.0011719,0.0011719,0.0011719
17,65.1844,0.49302,0.65789,1,0.69258,0.00113889,0.00113889,0.00113889
18,69.0834,0.52632,0.69079,1,0.60913,0.00110589,0.00110589,0.00110589
19,72.6985,0.52284,0.67105,1,0.63994,0.00107288,0.00107288,0.00107288
20,76.3659,0.46801,0.65789,1,0.67832,0.00103987,0.00103987,0.00103987
21,80.2777,0.48528,0.71053,1,0.5583,0.00100687,0.00100687,0.00100687
22,84.4269,0.4887,0.67105,1,0.64268,0.000973861,0.000973861,0.000973861
23,88.0458,0.51571,0.625,1,0.83716,0.000940855,0.000940855,0.000940855
24,91.8104,0.44973,0.63816,1,0.69561,0.000907848,0.000907848,0.000907848
25,95.5482,0.47306,0.63816,1,0.63672,0.000874842,0.000874842,0.000874842
26,99.4295,0.46525,0.70395,1,0.58296,0.000841835,0.000841835,0.000841835
27,103.029,0.45761,0.73684,1,0.57207,0.000808828,0.000808828,0.000808828
28,107.007,0.42348,0.65132,1,0.76143,0.000775822,0.000775822,0.000775822
29,110.854,0.43537,0.59868,1,0.91211,0.000742815,0.000742815,0.000742815
30,114.822,0.44839,0.67105,1,0.56602,0.000709809,0.000709809,0.000709809
31,118.657,0.43411,0.71053,1,0.54858,0.000676802,0.000676802,0.000676802
32,122.316,0.43071,0.69737,1,0.65205,0.000643795,0.000643795,0.000643795
33,126.265,0.41574,0.625,1,0.74932,0.000610789,0.000610789,0.000610789
34,130.243,0.39727,0.66447,1,0.67852,0.000577782,0.000577782,0.000577782
35,134.2,0.45429,0.66447,1,0.64438,0.000544776,0.000544776,0.000544776
36,137.977,0.43144,0.66447,1,0.61445,0.000511769,0.000511769,0.000511769
37,141.679,0.44189,0.625,1,0.6291,0.000478762,0.000478762,0.000478762
38,145.656,0.3906,0.63158,1,0.69844,0.000445756,0.000445756,0.000445756
39,149.37,0.40375,0.67763,1,0.65293,0.000412749,0.000412749,0.000412749
40,153.155,0.3847,0.69737,1,0.65552,0.000379743,0.000379743,0.000379743
41,157.537,0.37132,0.68421,1,0.65176,0.000346736,0.000346736,0.000346736
42,161.775,0.37295,0.69737,1,0.64873,0.000313729,0.000313729,0.000313729
43,165.585,0.3654,0.68421,1,0.69629,0.000280723,0.000280723,0.000280723
44,169.575,0.38918,0.69737,1,0.69819,0.000247716,0.000247716,0.000247716
45,173.399,0.3782,0.69737,1,0.65986,0.00021471,0.00021471,0.00021471
46,177.412,0.39167,0.67105,1,0.67715,0.000181703,0.000181703,0.000181703
47,181.4,0.38111,0.65789,1,0.7314,0.000148696,0.000148696,0.000148696
48,185.17,0.36946,0.67105,1,0.67827,0.00011569,0.00011569,0.00011569
49,189.087,0.37839,0.69737,1,0.64824,8.26832e-05,8.26832e-05,8.26832e-05
50,192.958,0.37953,0.69737,1,0.61079,4.96766e-05,4.96766e-05,4.96766e-05
